Pulse number,Conductance (W11),Moving averaged conductance (W11),Conductance (W12),Moving averaged conductance (W12),
0,9.29E-05,9.48E-05,8.47E-05,9.36E-05,
1,9.10E-05,9.53E-05,8.41E-05,9.48E-05,
2,9.56E-05,9.45E-05,9.29E-05,9.45E-05,
3,9.97E-05,9.41E-05,9.79E-05,9.45E-05,
4,9.01E-05,9.37E-05,9.29E-05,9.40E-05,
5,9.77E-05,9.41E-05,1.00E-04,9.45E-05,
6,9.78E-05,9.41E-05,1.01E-04,9.56E-05,
7,8.99E-05,9.34E-05,9.33E-05,9.53E-05,
8,9.09E-05,9.34E-05,9.44E-05,9.58E-05,
9,9.03E-05,9.36E-05,8.95E-05,9.61E-05,
10,9.76E-05,9.30E-05,9.91E-05,9.57E-05,
11,9.11E-05,9.22E-05,9.54E-05,9.52E-05,
12,8.93E-05,9.28E-05,8.98E-05,9.56E-05,
13,9.99E-05,9.26E-05,1.03E-04,9.57E-05,
14,9.19E-05,9.26E-05,9.61E-05,9.60E-05,
15,9.13E-05,9.21E-05,9.57E-05,9.57E-05,
16,9.02E-05,9.21E-05,9.57E-05,9.61E-05,
17,9.58E-05,9.22E-05,9.79E-05,9.66E-05,
18,8.87E-05,9.14E-05,9.45E-05,9.58E-05,
19,9.00E-05,9.14E-05,9.28E-05,9.56E-05,
20,9.23E-05,9.12E-05,9.67E-05,9.61E-05,
21,9.12E-05,9.11E-05,9.90E-05,9.62E-05,
22,9.05E-05,9.06E-05,9.48E-05,9.62E-05,
23,9.19E-05,9.08E-05,9.45E-05,9.64E-05,
24,9.16E-05,9.13E-05,9.48E-05,9.73E-05,
25,9.01E-05,9.16E-05,9.99E-05,9.77E-05,
26,8.87E-05,9.19E-05,9.68E-05,9.79E-05,
27,9.09E-05,9.19E-05,9.84E-05,9.84E-05,
28,9.08E-05,9.22E-05,9.60E-05,9.96E-05,
29,9.49E-05,9.21E-05,1.02E-04,1.00E-04,
30,9.59E-05,9.28E-05,1.01E-04,1.01E-04,
31,9.41E-05,9.28E-05,1.01E-04,1.01E-04,
32,9.05E-05,9.31E-05,9.99E-05,1.01E-04,
33,9.46E-05,9.33E-05,1.06E-04,1.02E-04,
34,9.10E-05,9.36E-05,9.97E-05,1.03E-04,
35,9.67E-05,9.37E-05,1.06E-04,1.04E-04,
36,8.91E-05,9.33E-05,9.67E-05,1.04E-04,
37,9.34E-05,9.36E-05,1.06E-04,1.04E-04,
38,9.29E-05,9.33E-05,1.04E-04,1.04E-04,
39,9.78E-05,9.35E-05,1.12E-04,1.04E-04,
40,9.73E-05,9.30E-05,1.06E-04,1.04E-04,
41,8.97E-05,9.38E-05,1.01E-04,1.05E-04,
42,9.37E-05,9.35E-05,1.07E-04,1.05E-04,
43,9.15E-05,9.33E-05,1.00E-04,1.06E-04,
44,9.24E-05,9.28E-05,1.06E-04,1.05E-04,
45,9.18E-05,9.22E-05,1.01E-04,1.05E-04,
46,9.73E-05,9.22E-05,1.12E-04,1.05E-04,
47,9.07E-05,9.20E-05,1.05E-04,1.05E-04,
48,9.08E-05,9.26E-05,1.05E-04,1.07E-04,
49,9.24E-05,9.24E-05,1.07E-04,1.07E-04,
50,9.17E-05,9.28E-05,1.05E-04,1.08E-04,
51,9.02E-05,9.23E-05,1.05E-04,1.07E-04,
52,9.13E-05,9.29E-05,1.07E-04,1.08E-04,
53,9.79E-05,9.29E-05,1.17E-04,1.08E-04,
54,9.02E-05,9.29E-05,1.04E-04,1.08E-04,
55,9.60E-05,9.28E-05,1.11E-04,1.09E-04,
56,9.17E-05,9.34E-05,1.06E-04,1.10E-04,
57,9.71E-05,9.39E-05,1.13E-04,1.10E-04,
58,9.02E-05,9.38E-05,1.04E-04,1.09E-04,
59,9.26E-05,9.38E-05,1.11E-04,1.09E-04,
60,9.06E-05,9.34E-05,1.11E-04,1.09E-04,
61,9.68E-05,9.31E-05,1.12E-04,1.09E-04,
62,9.58E-05,9.25E-05,1.09E-04,1.08E-04,
63,9.72E-05,9.25E-05,1.12E-04,1.07E-04,
64,9.03E-05,9.24E-05,1.02E-04,1.06E-04,
65,9.15E-05,9.24E-05,1.07E-04,1.06E-04,
66,8.90E-05,9.26E-05,1.03E-04,1.06E-04,
67,9.15E-05,9.22E-05,1.05E-04,1.06E-04,
68,9.01E-05,9.17E-05,1.01E-04,1.05E-04,
69,9.12E-05,9.19E-05,1.01E-04,1.06E-04,
70,9.08E-05,9.17E-05,1.03E-04,1.06E-04,
71,9.86E-05,9.19E-05,1.16E-04,1.07E-04,
72,9.23E-05,9.19E-05,1.07E-04,1.07E-04,
73,9.13E-05,9.21E-05,1.10E-04,1.07E-04,
74,9.28E-05,9.22E-05,1.11E-04,1.08E-04,
75,8.90E-05,9.27E-05,1.06E-04,1.09E-04,
76,9.14E-05,9.19E-05,1.06E-04,1.08E-04,
77,9.19E-05,9.20E-05,1.07E-04,1.08E-04,
78,9.17E-05,9.21E-05,1.02E-04,1.08E-04,
79,9.22E-05,9.18E-05,1.11E-04,1.07E-04,
80,9.58E-05,9.21E-05,1.11E-04,1.07E-04,
81,9.01E-05,9.27E-05,1.06E-04,1.08E-04,
82,9.39E-05,9.26E-05,1.11E-04,1.08E-04,
83,9.26E-05,9.26E-05,1.06E-04,1.08E-04,
84,8.89E-05,9.32E-05,1.03E-04,1.09E-04,
85,9.23E-05,9.27E-05,1.09E-04,1.08E-04,
86,9.80E-05,9.32E-05,1.14E-04,1.09E-04,
87,9.05E-05,9.30E-05,1.04E-04,1.08E-04,
88,9.13E-05,9.29E-05,1.07E-04,1.08E-04,
89,9.83E-05,9.32E-05,1.19E-04,1.09E-04,
90,9.17E-05,9.38E-05,1.02E-04,1.09E-04,
91,9.45E-05,9.31E-05,1.11E-04,1.08E-04,
92,9.17E-05,9.30E-05,1.08E-04,1.09E-04,
93,9.23E-05,9.33E-05,1.07E-04,1.10E-04,
94,9.12E-05,9.23E-05,1.05E-04,1.08E-04,
95,9.86E-05,9.28E-05,1.13E-04,1.09E-04,
96,9.05E-05,9.29E-05,1.08E-04,1.10E-04,
97,9.02E-05,9.32E-05,1.08E-04,1.10E-04,
98,9.42E-05,9.32E-05,1.16E-04,1.10E-04,
99,8.80E-05,9.33E-05,1.03E-04,1.11E-04,
100,9.64E-05,9.24E-05,1.15E-04,1.10E-04,
101,9.57E-05,9.29E-05,1.15E-04,1.11E-04,
102,9.54E-05,9.28E-05,1.10E-04,1.11E-04,
103,9.17E-05,9.25E-05,1.11E-04,1.10E-04,
104,9.19E-05,9.28E-05,1.10E-04,1.11E-04,
105,9.04E-05,9.21E-05,1.08E-04,1.10E-04,
106,9.48E-05,9.18E-05,1.13E-04,1.10E-04,
107,8.98E-05,9.15E-05,1.06E-04,1.10E-04,
108,9.10E-05,9.14E-05,1.12E-04,1.09E-04,
109,9.05E-05,9.12E-05,1.07E-04,1.09E-04,
110,9.00E-05,9.11E-05,1.08E-04,1.08E-04,
111,9.25E-05,9.09E-05,1.11E-04,1.08E-04,
112,9.20E-05,9.12E-05,1.09E-04,1.09E-04,
113,9.12E-05,9.12E-05,1.08E-04,1.08E-04,
114,8.97E-05,9.16E-05,1.05E-04,1.09E-04,
115,8.93E-05,9.18E-05,1.04E-04,1.09E-04,
116,9.30E-05,9.15E-05,1.12E-04,1.08E-04,
117,9.22E-05,9.14E-05,1.11E-04,1.09E-04,
118,9.12E-05,9.21E-05,1.08E-04,1.10E-04,
119,9.46E-05,9.26E-05,1.11E-04,1.11E-04,
120,9.22E-05,9.29E-05,1.10E-04,1.12E-04,
121,8.97E-05,9.26E-05,1.07E-04,1.11E-04,
122,9.10E-05,9.25E-05,1.13E-04,1.10E-04,
123,9.80E-05,9.23E-05,1.16E-04,1.10E-04,
124,9.53E-05,9.21E-05,1.16E-04,1.11E-04,
125,9.15E-05,9.21E-05,1.11E-04,1.11E-04,
126,9.07E-05,9.22E-05,1.03E-04,1.11E-04,
127,9.05E-05,9.27E-05,1.10E-04,1.12E-04,
128,8.92E-05,9.19E-05,1.05E-04,1.11E-04,
129,9.30E-05,9.15E-05,1.15E-04,1.10E-04,
130,9.18E-05,9.12E-05,1.11E-04,1.09E-04,
131,9.08E-05,9.12E-05,1.13E-04,1.10E-04,
132,9.66E-05,9.16E-05,1.16E-04,1.10E-04,
133,8.93E-05,9.17E-05,1.07E-04,1.10E-04,
134,9.11E-05,9.17E-05,1.09E-04,1.10E-04,
135,8.92E-05,9.15E-05,1.05E-04,1.09E-04,
136,9.09E-05,9.15E-05,1.10E-04,1.09E-04,
137,9.43E-05,9.16E-05,1.06E-04,1.09E-04,
138,9.01E-05,9.16E-05,1.10E-04,1.09E-04,
139,9.32E-05,9.16E-05,1.12E-04,1.09E-04,
140,8.98E-05,9.24E-05,1.04E-04,1.10E-04,
141,9.01E-05,9.25E-05,1.06E-04,1.11E-04,
142,9.79E-05,9.24E-05,1.19E-04,1.12E-04,
143,9.00E-05,9.26E-05,1.08E-04,1.12E-04,
144,9.04E-05,9.29E-05,1.07E-04,1.12E-04,
145,9.78E-05,9.29E-05,1.19E-04,1.13E-04,
146,9.16E-05,9.30E-05,1.14E-04,1.13E-04,
147,9.33E-05,9.23E-05,1.16E-04,1.12E-04,
148,9.17E-05,9.24E-05,1.12E-04,1.12E-04,
149,9.63E-05,9.24E-05,1.16E-04,1.12E-04,
150,8.97E-05,9.22E-05,1.10E-04,1.12E-04,
151,9.10E-05,9.27E-05,1.09E-04,1.12E-04,
152,9.17E-05,9.30E-05,1.13E-04,1.12E-04,
153,9.09E-05,9.29E-05,1.03E-04,1.12E-04,
154,9.03E-05,9.23E-05,1.06E-04,1.12E-04,
155,9.52E-05,9.29E-05,1.20E-04,1.12E-04,
156,9.64E-05,9.32E-05,1.15E-04,1.13E-04,
157,9.68E-05,9.31E-05,1.20E-04,1.12E-04,
158,9.07E-05,9.30E-05,1.10E-04,1.13E-04,
159,9.04E-05,9.37E-05,1.12E-04,1.14E-04,
160,9.54E-05,9.34E-05,1.14E-04,1.13E-04,
161,9.41E-05,9.30E-05,1.15E-04,1.12E-04,
162,9.05E-05,9.24E-05,1.07E-04,1.11E-04,
163,8.99E-05,9.23E-05,1.09E-04,1.11E-04,
164,9.78E-05,9.30E-05,1.17E-04,1.12E-04,
165,9.16E-05,9.27E-05,1.10E-04,1.12E-04,
166,9.28E-05,9.31E-05,1.09E-04,1.13E-04,
167,9.07E-05,9.29E-05,1.09E-04,1.14E-04,
168,9.01E-05,9.38E-05,1.11E-04,1.15E-04,
169,9.70E-05,9.32E-05,1.21E-04,1.14E-04,
170,9.25E-05,9.38E-05,1.13E-04,1.15E-04,
171,9.77E-05,9.36E-05,1.24E-04,1.15E-04,
172,8.85E-05,9.37E-05,1.15E-04,1.15E-04,
173,9.90E-05,9.37E-05,1.20E-04,1.15E-04,
174,9.16E-05,9.34E-05,1.09E-04,1.14E-04,
175,9.75E-05,9.31E-05,1.21E-04,1.14E-04,
176,9.13E-05,9.26E-05,1.10E-04,1.13E-04,
177,9.21E-05,9.30E-05,1.10E-04,1.13E-04,
178,9.00E-05,9.22E-05,1.09E-04,1.12E-04,
179,9.34E-05,9.21E-05,1.11E-04,1.12E-04,
180,8.99E-05,9.13E-05,1.10E-04,1.10E-04,
181,9.22E-05,9.18E-05,1.12E-04,1.10E-04,
182,9.34E-05,9.22E-05,1.13E-04,1.11E-04,
183,9.07E-05,9.20E-05,1.10E-04,1.11E-04,
184,9.03E-05,9.20E-05,1.08E-04,1.12E-04,
185,8.94E-05,9.20E-05,1.07E-04,1.12E-04,
186,9.65E-05,9.24E-05,1.14E-04,1.13E-04,
187,9.62E-05,9.20E-05,1.15E-04,1.12E-04,
188,8.78E-05,9.21E-05,1.09E-04,1.12E-04,
189,9.36E-05,9.22E-05,1.19E-04,1.13E-04,
190,8.95E-05,9.31E-05,1.13E-04,1.14E-04,
191,9.66E-05,9.25E-05,1.21E-04,1.14E-04,
192,8.97E-05,9.25E-05,1.07E-04,1.14E-04,
193,9.13E-05,9.30E-05,1.09E-04,1.15E-04,
194,9.11E-05,9.34E-05,1.13E-04,1.15E-04,
195,9.86E-05,9.36E-05,1.20E-04,1.13E-04,
196,9.06E-05,9.31E-05,1.12E-04,1.10E-04,
197,9.58E-05,9.34E-05,1.20E-04,1.08E-04,
198,9.29E-05,9.41E-05,1.14E-04,1.06E-04,
199,9.81E-05,9.40E-05,1.17E-04,1.03E-04,
200,9.09E-05,9.32E-05,9.69E-05,9.92E-05,
201,9.22E-05,9.39E-05,9.27E-05,9.73E-05,
202,9.21E-05,9.42E-05,8.46E-05,9.37E-05,
203,9.87E-05,9.41E-05,8.83E-05,9.02E-05,
204,9.05E-05,9.32E-05,8.79E-05,8.62E-05,
205,8.99E-05,9.38E-05,7.86E-05,8.47E-05,
206,9.79E-05,9.37E-05,9.37E-05,8.18E-05,
207,9.89E-05,9.37E-05,8.41E-05,7.90E-05,
208,9.13E-05,9.30E-05,7.78E-05,7.68E-05,
209,8.93E-05,9.31E-05,7.75E-05,7.44E-05,
210,9.68E-05,9.40E-05,8.13E-05,7.40E-05,
211,9.10E-05,9.39E-05,6.39E-05,7.17E-05,
212,9.26E-05,9.36E-05,5.73E-05,6.99E-05,
213,9.15E-05,9.37E-05,6.59E-05,6.85E-05,
214,9.17E-05,9.42E-05,6.36E-05,6.77E-05,
215,9.90E-05,9.43E-05,7.48E-05,6.62E-05,
216,9.69E-05,9.45E-05,7.11E-05,6.66E-05,
217,9.57E-05,9.44E-05,6.55E-05,6.73E-05,
218,9.23E-05,9.47E-05,6.37E-05,6.74E-05,
219,9.45E-05,9.51E-05,6.94E-05,6.71E-05,
220,9.81E-05,9.48E-05,6.70E-05,6.62E-05,
221,9.29E-05,9.43E-05,6.72E-05,6.50E-05,
222,9.13E-05,9.40E-05,6.49E-05,6.44E-05,
223,9.45E-05,9.41E-05,6.69E-05,6.36E-05,
224,9.57E-05,9.44E-05,6.08E-05,6.27E-05,
225,9.62E-05,9.37E-05,6.54E-05,6.16E-05,
226,9.25E-05,9.35E-05,5.94E-05,6.04E-05,
227,9.24E-05,9.35E-05,5.89E-05,5.96E-05,
228,9.29E-05,9.33E-05,5.61E-05,5.86E-05,
229,9.73E-05,9.28E-05,6.04E-05,5.80E-05,
230,9.10E-05,9.25E-05,5.59E-05,5.71E-05,
231,9.15E-05,9.24E-05,5.57E-05,5.63E-05,
232,9.13E-05,9.24E-05,5.68E-05,5.58E-05,
233,9.22E-05,9.24E-05,5.64E-05,5.52E-05,
234,9.09E-05,9.19E-05,5.48E-05,5.47E-05,
235,9.33E-05,9.26E-05,5.63E-05,5.50E-05,
236,9.09E-05,9.25E-05,5.14E-05,5.56E-05,
237,9.28E-05,9.25E-05,5.40E-05,5.61E-05,
238,9.23E-05,9.25E-05,5.04E-05,5.66E-05,
239,9.28E-05,9.32E-05,5.52E-05,5.66E-05,
240,9.76E-05,9.37E-05,5.86E-05,5.66E-05,
241,9.07E-05,9.38E-05,6.19E-05,5.69E-05,
242,9.18E-05,9.38E-05,6.18E-05,5.67E-05,
243,9.16E-05,9.39E-05,6.17E-05,5.75E-05,
244,9.83E-05,9.45E-05,5.47E-05,5.80E-05,
245,9.81E-05,9.38E-05,5.61E-05,5.77E-05,
246,9.20E-05,9.40E-05,5.42E-05,5.81E-05,
247,9.24E-05,9.43E-05,5.27E-05,5.85E-05,
248,9.37E-05,9.43E-05,5.85E-05,5.78E-05,
249,9.84E-05,9.37E-05,6.04E-05,5.75E-05,
250,9.07E-05,9.31E-05,5.54E-05,5.70E-05,
251,9.29E-05,9.40E-05,6.51E-05,5.67E-05,
252,9.51E-05,9.38E-05,6.64E-05,5.64E-05,
253,9.19E-05,9.37E-05,5.44E-05,5.57E-05,
254,9.16E-05,9.29E-05,5.15E-05,5.53E-05,
255,9.26E-05,9.32E-05,5.18E-05,5.46E-05,
256,1.00E-04,9.31E-05,5.10E-05,5.35E-05,
257,9.11E-05,9.29E-05,4.96E-05,5.29E-05,
258,9.20E-05,9.32E-05,5.10E-05,5.33E-05,
259,9.05E-05,9.32E-05,5.65E-05,5.27E-05,
260,9.36E-05,9.36E-05,4.91E-05,5.32E-05,
261,9.22E-05,9.31E-05,5.38E-05,5.38E-05,
262,9.33E-05,9.39E-05,6.02E-05,5.52E-05,
263,9.46E-05,9.37E-05,5.85E-05,5.56E-05,
264,9.20E-05,9.41E-05,4.59E-05,5.50E-05,
265,9.63E-05,9.41E-05,5.67E-05,5.51E-05,
266,9.57E-05,9.40E-05,5.70E-05,5.44E-05,
267,9.83E-05,9.45E-05,6.29E-05,5.39E-05,
268,9.08E-05,9.50E-05,5.50E-05,5.34E-05,
269,9.38E-05,9.50E-05,5.07E-05,5.41E-05,
270,9.42E-05,9.52E-05,5.00E-05,5.38E-05,
271,9.11E-05,9.53E-05,4.70E-05,5.30E-05,
272,9.79E-05,9.46E-05,5.53E-05,5.12E-05,
273,9.97E-05,9.54E-05,5.39E-05,5.04E-05,
274,9.22E-05,9.53E-05,5.25E-05,4.97E-05,
275,9.84E-05,9.49E-05,5.41E-05,4.91E-05,
276,9.67E-05,9.49E-05,4.84E-05,4.85E-05,
277,9.17E-05,9.51E-05,4.52E-05,4.78E-05,
278,9.88E-05,9.44E-05,4.70E-05,4.70E-05,
279,9.23E-05,9.45E-05,4.37E-05,4.67E-05,
280,9.02E-05,9.41E-05,4.39E-05,4.61E-05,
281,9.13E-05,9.38E-05,4.14E-05,4.61E-05,
282,9.97E-05,9.38E-05,4.83E-05,4.61E-05,
283,9.26E-05,9.32E-05,4.58E-05,4.59E-05,
284,9.28E-05,9.34E-05,4.95E-05,4.61E-05,
285,9.48E-05,9.40E-05,4.79E-05,4.66E-05,
286,9.34E-05,9.39E-05,4.78E-05,4.70E-05,
287,9.16E-05,9.32E-05,4.58E-05,4.64E-05,
288,9.28E-05,9.30E-05,4.47E-05,4.65E-05,
289,9.49E-05,9.35E-05,4.63E-05,4.62E-05,
290,9.61E-05,9.40E-05,4.80E-05,4.62E-05,
291,9.07E-05,9.38E-05,4.60E-05,4.54E-05,
292,9.20E-05,9.43E-05,4.21E-05,4.53E-05,
293,9.12E-05,9.43E-05,4.66E-05,4.51E-05,
294,9.80E-05,9.41E-05,4.69E-05,4.47E-05,
295,9.93E-05,9.37E-05,4.82E-05,4.42E-05,
296,9.10E-05,9.40E-05,3.90E-05,4.45E-05,
297,9.68E-05,9.46E-05,4.53E-05,4.58E-05,
298,9.31E-05,9.54E-05,4.30E-05,4.62E-05,
299,9.28E-05,9.49E-05,4.19E-05,4.67E-05,
300,9.23E-05,9.41E-05,4.28E-05,4.65E-05,
301,9.34E-05,9.47E-05,4.97E-05,4.77E-05,
302,9.78E-05,9.42E-05,5.49E-05,4.83E-05,
303,9.95E-05,9.42E-05,5.01E-05,4.86E-05,
304,9.28E-05,9.45E-05,5.26E-05,4.88E-05,
305,9.17E-05,9.48E-05,4.57E-05,4.98E-05,
306,9.69E-05,9.46E-05,5.14E-05,4.96E-05,
307,9.13E-05,9.47E-05,5.08E-05,4.94E-05,
308,9.34E-05,9.48E-05,4.65E-05,5.04E-05,
309,9.58E-05,9.47E-05,4.38E-05,5.07E-05,
310,9.57E-05,9.54E-05,5.26E-05,5.15E-05,
311,9.14E-05,9.47E-05,4.78E-05,5.09E-05,
312,9.88E-05,9.46E-05,5.24E-05,5.04E-05,
313,9.98E-05,9.45E-05,6.04E-05,5.05E-05,
314,9.22E-05,9.42E-05,5.60E-05,5.09E-05,
315,9.85E-05,9.37E-05,5.37E-05,5.05E-05,
316,8.98E-05,9.37E-05,4.49E-05,5.03E-05,
317,9.08E-05,9.37E-05,4.58E-05,4.94E-05,
318,9.24E-05,9.35E-05,4.75E-05,4.81E-05,
319,9.26E-05,9.43E-05,4.84E-05,4.69E-05,
320,9.03E-05,9.37E-05,4.77E-05,4.58E-05,
321,9.17E-05,9.41E-05,4.64E-05,4.54E-05,
322,9.87E-05,9.42E-05,4.36E-05,4.53E-05,
323,9.83E-05,9.40E-05,4.66E-05,4.49E-05,
324,9.97E-05,9.41E-05,4.45E-05,4.49E-05,
325,9.31E-05,9.47E-05,4.20E-05,4.50E-05,
326,9.30E-05,9.48E-05,4.14E-05,4.55E-05,
327,9.17E-05,9.42E-05,4.51E-05,4.60E-05,
328,9.13E-05,9.34E-05,4.33E-05,4.62E-05,
329,9.27E-05,9.27E-05,4.84E-05,4.68E-05,
330,9.72E-05,9.26E-05,4.89E-05,4.75E-05,
331,9.23E-05,9.24E-05,5.09E-05,4.77E-05,
332,9.22E-05,9.25E-05,4.86E-05,4.80E-05,
333,9.10E-05,9.27E-05,4.87E-05,4.84E-05,
334,9.23E-05,9.26E-05,5.03E-05,4.85E-05,
335,9.26E-05,9.24E-05,4.91E-05,4.87E-05,
336,9.09E-05,9.24E-05,4.41E-05,4.80E-05,
337,9.28E-05,9.24E-05,4.77E-05,4.79E-05,
338,9.30E-05,9.30E-05,4.77E-05,4.72E-05,
339,9.12E-05,9.33E-05,4.90E-05,4.65E-05,
340,9.59E-05,9.32E-05,5.08E-05,4.58E-05,
341,9.24E-05,9.31E-05,4.39E-05,4.55E-05,
342,9.18E-05,9.32E-05,4.75E-05,4.48E-05,
343,9.75E-05,9.33E-05,4.23E-05,4.43E-05,
344,9.53E-05,9.38E-05,4.31E-05,4.37E-05,
345,9.08E-05,9.33E-05,4.16E-05,4.32E-05,
346,9.06E-05,9.39E-05,4.12E-05,4.35E-05,
347,9.38E-05,9.38E-05,4.06E-05,4.27E-05,
348,9.32E-05,9.33E-05,4.28E-05,4.32E-05,
349,9.65E-05,9.29E-05,4.32E-05,4.42E-05,
350,9.08E-05,9.32E-05,4.56E-05,4.50E-05,
351,9.86E-05,9.35E-05,4.66E-05,4.58E-05,
352,9.13E-05,9.33E-05,3.96E-05,4.56E-05,
353,9.26E-05,9.32E-05,4.77E-05,4.56E-05,
354,9.04E-05,9.28E-05,5.30E-05,4.60E-05,
355,9.39E-05,9.38E-05,4.92E-05,4.59E-05,
356,9.40E-05,9.39E-05,4.90E-05,4.60E-05,
357,9.22E-05,9.40E-05,3.90E-05,4.63E-05,
358,9.16E-05,9.43E-05,4.27E-05,4.58E-05,
359,9.29E-05,9.46E-05,4.69E-05,4.48E-05,
360,1.00E-04,9.44E-05,4.52E-05,4.43E-05,
361,1.00E-04,9.42E-05,4.76E-05,4.29E-05,
362,9.23E-05,9.40E-05,4.22E-05,4.29E-05,
363,9.56E-05,9.40E-05,4.32E-05,4.22E-05,
364,9.26E-05,9.46E-05,4.33E-05,4.13E-05,
365,9.23E-05,9.38E-05,4.35E-05,4.08E-05,
366,9.16E-05,9.30E-05,3.54E-05,3.97E-05,
367,9.08E-05,9.28E-05,3.87E-05,3.92E-05,
368,9.18E-05,9.25E-05,3.57E-05,3.82E-05,
369,9.83E-05,9.30E-05,3.82E-05,3.78E-05,
370,9.20E-05,9.29E-05,4.07E-05,3.77E-05,
371,9.25E-05,9.29E-05,3.60E-05,3.85E-05,
372,9.04E-05,9.35E-05,3.70E-05,3.86E-05,
373,9.22E-05,9.35E-05,3.35E-05,3.93E-05,
374,9.80E-05,9.28E-05,3.89E-05,3.93E-05,
375,9.10E-05,9.36E-05,4.30E-05,3.91E-05,
376,9.23E-05,9.35E-05,4.34E-05,3.95E-05,
377,9.66E-05,9.37E-05,3.93E-05,4.02E-05,
378,9.15E-05,9.35E-05,4.29E-05,4.08E-05,
379,9.10E-05,9.32E-05,3.85E-05,4.13E-05,
380,1.00E-04,9.35E-05,3.87E-05,4.11E-05,
381,9.15E-05,9.35E-05,3.99E-05,4.11E-05,
382,9.25E-05,9.30E-05,4.39E-05,4.09E-05,
383,9.04E-05,9.31E-05,3.90E-05,4.08E-05,
384,9.45E-05,9.38E-05,4.41E-05,4.14E-05,
385,9.48E-05,9.33E-05,4.11E-05,4.20E-05,
386,9.21E-05,9.34E-05,4.34E-05,4.23E-05,
387,9.17E-05,9.32E-05,3.76E-05,4.26E-05,
388,9.22E-05,9.33E-05,4.21E-05,4.27E-05,
389,9.84E-05,9.32E-05,4.46E-05,4.25E-05,
390,9.50E-05,9.30E-05,4.45E-05,4.25E-05,
391,9.24E-05,9.32E-05,4.31E-05,4.26E-05,
392,9.05E-05,9.34E-05,4.70E-05,4.34E-05,
393,9.17E-05,9.40E-05,3.96E-05,4.41E-05,
394,9.35E-05,9.32E-05,4.22E-05,4.32E-05,
395,9.24E-05,9.36E-05,4.13E-05,4.26E-05,
396,9.40E-05,9.62E-05,4.41E-05,4.25E-05,
397,9.37E-05,9.96E-05,4.53E-05,4.21E-05,
398,9.81E-05,1.01E-04,4.93E-05,4.21E-05,
